_id,url,title,image_path,image_url,last_update,product_id,description_items,price,price_real,price_discount,off_percent,categories,main_category,category,subcategory
665a531c23eec9aaf5f78752,https://us.shein.com/1pc-Portable-Pet-Waste-Bag-Dispenser-With-Garbage-Bag-Pill-Box-And-Dog-Collector-For-Dogs-p-30565539.html,"1pc Portable Pet Waste Bag Dispenser With Garbage Bag, Pill Box And Dog Collector For Dogs",img/products/17085183774e486bb584fcd140d8748a36d611e249_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/02/21/34/17085183774e486bb584fcd140d8748a36d611e249_thumbnail_220x293.webp,2024-05-31 19:45:48.486,sp2402212620010001,"{'color': 'multicolor', 'material': 'plastic', 'applicable pet': 'cat/dog'}","$0.42
$1.80
-77%",1.8,0.42,-77.0,"['Pet Supplies', 'Pet Cleaning', 'Pet Poopbags']",Pet Supplies,Pet Cleaning,Pet Poopbags
665a533823eec9aaf5f78772,https://us.shein.com/1pc-Pet-White-Flea-Removal-Comb-Suitable-For-Cats-Dogs-And-Other-Plush-Pets-For-Pet-Cleaning-And-Anti-Itch-p-27486908.html,"1pc Pet White Flea Removal Comb, Suitable For Cats, Dogs And Other Plush Pets, For Pet Cleaning And Anti-Itch",img/products/171439580052bac111b3c6b7e3abc2dd033c72a63a_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/04/29/15/171439580052bac111b3c6b7e3abc2dd033c72a63a_thumbnail_220x293.webp,2024-05-31 19:46:16.234,sp2312078989873325,"{'color': 'white', 'batteries included': 'no', 'power supply': 'none', 'material': 'pe', 'applicable pet': 'cat/dog'}","From
$0.42
$1.60
-74%",1.6,0.42,-74.0,"['Pet Supplies', 'Pet Cleaning', 'Pet Cleaning Accessories']",Pet Supplies,Pet Cleaning,Pet Cleaning Accessories
665a539723eec9aaf5f787f9,https://us.shein.com/1pc-Cartoon-Graphic-Cat-Litter-Shovel-Large-Cat-Litter-Shovel-p-9850234.html,"1pc Cartoon Graphic Cat Litter Shovel, Large Cat Litter Shovel",img/products/1633657831052ecdc114ca378148ce543840bfc4e6_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_pi/2021/10/08/1633657831052ecdc114ca378148ce543840bfc4e6_thumbnail_220x293.webp,2024-05-31 19:47:51.521,sp2202180180817733,"{'color': 'light grey', 'pattern type': 'cartoon', 'material': 'plastic', 'applicable pet': 'cat/dog'}","$0.43
$1.70
-75%",1.7,0.43,-75.0,"['Pet Supplies', 'Pet Cleaning', 'Pet Cleaning Accessories']",Pet Supplies,Pet Cleaning,Pet Cleaning Accessories
665a53b823eec9aaf5f7881c,https://us.shein.com/4pcs-Cereal-Bowl-Set-For-Hamster-Small-Animal-Birds-Wheat-Straw-Fiber-Unbreakable-Lightweight-Bowls-Set-p-28139658.html,"4pcs Cereal Bowl Set For Hamster Small Animal Birds, Wheat Straw Fiber Unbreakable Lightweight Bowls Set",img/products/17028889423e9d6f8a276d8affa99faa4db89aeaa8_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2023/12/18/98/17028889423e9d6f8a276d8affa99faa4db89aeaa8_thumbnail_220x293.webp,2024-05-31 19:48:24.650,sp2312187818353133,"{'color': 'multicolor', 'applicable pet': 'small animal', 'material': 'straw'}","$0.44
$2.10
-79%",2.1,0.44,-79.0,"['Pet Supplies', 'Small Animal Supplies', 'Small Pet Feeders']",Pet Supplies,Small Animal Supplies,Small Pet Feeders
665a53c423eec9aaf5f78828,https://us.shein.com/1pc-White-Pet-Cleaning-Grooming-Massage-Airbag-Brush-For-Removing-Tangles-Floating-Hair-Fleas-With-Anti-stabbing-Tooth-Design-p-25754663.html,"1pc White Pet Cleaning & Grooming & Massage Airbag Brush For Removing Tangles, Floating Hair, Fleas With Anti-stabbing Tooth Design",img/products/169873674231dd7256054b7bb82fbdb1ae92d11b50_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2023/10/31/65/169873674231dd7256054b7bb82fbdb1ae92d11b50_thumbnail_220x293.webp,2024-05-31 19:48:36.473,sp2310317590766696,"{'color': 'white', 'material': 'pp', 'applicable pet': 'cat/dog'}","$0.44
$2.10
-79%",2.1,0.44,-79.0,"['Pet Supplies', 'Pet Grooming', 'Pet Grooming Tools', 'Pet Hair Combs & Brushes']",Pet Supplies,Pet Grooming,Pet Grooming Tools
665a542223eec9aaf5f788a6,https://us.shein.com/Stainless-Steel-Pet-Nail-Clippers-Universal-Pet-Grooming-Tools-For-Cats-Dogs-p-17190137.html,"Stainless Steel Pet Nail Clippers, Universal Pet Grooming Tools For Cats & Dogs",img/products/17143883692928caa270f29e385ba513a1cd99c7af_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/04/29/1d/17143883692928caa270f29e385ba513a1cd99c7af_thumbnail_220x293.webp,2024-05-31 19:50:10.591,sp2305253368829722,"{'color': 'blue', 'batteries included': 'no', 'power supply': 'none', 'material': 'stainless steel', 'applicable pet': 'cat/dog'}","$0.45
$1.60
-72%",1.6,0.45,-72.0,"['Pet Supplies', 'Pet Cleaning', 'Pet Cleaning Accessories']",Pet Supplies,Pet Cleaning,Pet Cleaning Accessories
665a542923eec9aaf5f788ab,https://us.shein.com/2pcs-Aquarium-Oxygenation-System-Air-Stone-Bubbler-With-Sand-Head-For-Aquarium-Tank-p-31883491.html,2pcs Aquarium Oxygenation System Air Stone Bubbler With Sand Head For Aquarium Tank,img/products/17103826026034c464adfd05edf16f5f628c3db675_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/03/14/65/17103826026034c464adfd05edf16f5f628c3db675_thumbnail_220x293.webp,2024-05-31 19:50:17.975,sp2403146555294434,"{'color': 'grey', 'applicable pet': 'fish', 'material': 'pvc'}","From
$0.46
$2.70
-83%",2.7,0.46,-83.0,"['Pet Supplies', 'Fish & Aquarium Supplies', 'Equipment & Maintenance']",Pet Supplies,Fish & Aquarium Supplies,Equipment & Maintenance
665a543223eec9aaf5f788ac,https://us.shein.com/Aquarium-Air-Stone-Fish-Tank-Oxygen-Plate-Air-Bubble-Diffuser-For-Oxygen-Pump-To-Improve-Oxygen-Level-And-Dissolved-Oxygen-p-31488420.html,"Aquarium Air Stone, Fish Tank Oxygen Plate, Air Bubble Diffuser For Oxygen Pump To Improve Oxygen Level And Dissolved Oxygen",img/products/1711006897f370c7a61e4382c641076358f60cc77f_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/03/21/6a/1711006897f370c7a61e4382c641076358f60cc77f_thumbnail_220x293.webp,2024-05-31 19:50:26.982,sp2403075412219895,"{'color': 'grey', 'applicable pet': 'fish', 'material': 'stone'}","From
$0.46
$1.90
-76%",1.9,0.46,-76.0,"['Pet Supplies', 'Fish & Aquarium Supplies', 'Tank & Accessories']",Pet Supplies,Fish & Aquarium Supplies,Tank & Accessories
665a54c023eec9aaf5f78963,https://us.shein.com/1pc-New-Grey-Cat-Scratching-Post-Hair-Remover-p-26804304.html,1pc New Grey Cat Scratching Post & Hair Remover,img/products/16972732894174b741db7dd268a5ba0616f126e1fb.webp,https://img.ltwebstatic.com/images3_spmp/2023/10/14/a6/16972732894174b741db7dd268a5ba0616f126e1fb.webp,2024-05-31 19:52:48.141,sp2310137595303507,"{'color': 'grey', 'pattern type': 'plain', 'applicable pet': 'cat', 'material': 'pp', 'composition': '100% polyvinyl chloride'}","$0.47
$2.70
-83%",2.7,0.47,-83.0,"['Pet Supplies', 'Pet Furniture', 'Cat Scratchers']",Pet Supplies,Pet Furniture,Cat Scratchers
665a551623eec9aaf5f789c1,https://us.shein.com/Groom-Your-Pet-with-Comfort-Pet-Massage-Lint-Removal-Gloves-Floating-Comb-for-Long-Short-Hair-p-22133381.html,Groom Your Pet with Comfort: Pet Massage Lint Removal Gloves & Floating Comb for Long & Short Hair!,img/products/1691724246e4a7eb87dbe13af1b236c1960bb1fa02_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2023/08/11/9b/1691724246e4a7eb87dbe13af1b236c1960bb1fa02_thumbnail_220x293.webp,2024-05-31 19:54:14.817,sp2306210511664689,"{'color': 'red', 'batteries included': 'no', 'power supply': 'none', 'material': 'silicone', 'applicable pet': 'cat/dog'}","From
$0.50
$2.20
-77%",2.2,0.5,-77.0,"['Pet Supplies', 'Pet Cleaning', 'Pet Cleaning Accessories']",Pet Supplies,Pet Cleaning,Pet Cleaning Accessories
